ident,name,type,latitude,longitude,country code,airport
AP,Taupo,NDB-DME,-38.7432,176.07401,NZ,NZAP
AP,Apiay,NDB,4.075,-73.475,CO,SKAP
AP,Anpu,NDB,25.1761,121.523,TW,RCSS
AP,Allahabad,NDB,25.4671,81.6982,IN,VIAL
AP,Anapa,NDB,45.035,37.3917,RU,URKA
AP,Active Pass,NDB,48.8739,-123.29,CA,
AP,Voronezh,NDB,51.7767,39.3033,RU,UUOO
AP,Aberporth,NDB,52.1163,-4.55983,GB,EGFA
APB,Apolo,NDB,-14.6854,-68.4166,BO,SLAP
APN,Apan,VOR-DME,19.6372,-98.3986,MX,
APU,Anpu,VOR-DME,25.1769,121.522,TW,RCSS
AQ,Barranquilla,NDB,10.8718,-74.7962,CO,SKBQ
AQ,Aqaba,NDB,29.5802,35.007,JO,OJAQ
AQ,Aberdeen,NDB,57.1383,-2.40472,GB,EGPD
AQA,Aqaba,NDB,30.2265,35.2214,JO,OJAQ
AQB,Aqaba,VOR-DME,29.5835,35.0082,JO,OJAQ
AQC,Aqaba,NDB,29.9023,35.119,JO,OJAQ
AR,Carrasco,NDB,-34.8234,-56.0063,UY,SUMU
AR,Iswahyudi,NDB,-7.66467,111.434,ID,WARI
AR,Arusha,NDB,-3.36779,36.6204,TZ,HTAR
AR,Le Raizet,NDB,16.2867,-61.631,GP,
AR,Atar,NDB,20.5023,-13.0591,MR,GQPA
AR,Amritsar,NDB,31.7086,74.8143,IN,VIAR
AR,Arkalyk,NDB,50.325,66.96,KZ,
AR,Barnaul,NDB,53.38,83.6117,RU,UNBB
AR,Buzharovo,NDB,55.9833,36.8,RU,
AR,Artemovsky,NDB,57.3333,61.9167,RU,
AR,Akureyri,NDB,65.7558,-18.0894,IS,BIAR
ARA,Aracatuba,NDB,-21.1393,-50.4267,BR,SBAU
ARA,Araracuara,NDB,-0.60604,-72.3959,CO,SKAC
ARA,Araxos,VOR-DME,38.1097,21.4253,GR,LGRX
ARA,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,VORDME,38.15889,21.42944,,
ARB,Ardabil,VOR-DME,38.3031,48.441,IR,OITL
ARB,Ardabil,NDB,38.3307,48.4154,IR,OITL
ARB,Tortoli,NDB,39.9214,9.67867,IT,LIET
ARD,Arad,NDB,46.184,21.1449,RO,LRAR
ARD,Arad,VOR-DME,46.1841,21.1436,RO,LRAR
ARE,Monts D Arree,VOR,48.3326,-3.60247,FR,
ARF,Topel,TACAN,40.7322,30.0647,TR,LTBQ
ARF,Topel,NDB,40.7328,30.0844,TR,LTBQ
ARG,Argyle,VOR-DME,-16.6317,128.44901,AU,YARG
ARG,Araguaia,NDB,-8.35367,-49.2992,BR,SBAA
ARH,El Arish,VOR-DME,31.073,33.8319,EG,HEAR
ARI,Arica,VOR-DME,-18.3694,-70.3464,CL,SCAR
ARI,Nador Arwi,VOR-DME,34.9867,-3.02917,MA,GMMW
ARI,FRATURK,VORDME,39.64611,43.02694,,
ARI,Agri,NDB,39.6691,43.022,TR,LTCO
ARI,Agri,VOR-DME,39.6717,43.0206,TR,LTCO
ARK,Arak,NDB,34.1345,49.8487,IR,OIHR
ARL,Arlit,NDB,18.7836,7.36673,NE,DRZL
ARL,BOREALIS FRA,VORDME,59.65333,17.91444,,
ARL,Arlanda,VOR-DME,59.6534,17.9144,SE,ESSA
ARM,Armidale,NDB-DME,-30.5278,151.61501,AU,YARM
ARM,Armilla,NDB,37.0735,-3.80208,ES,LEGA
ARN,Arbancon,NDB,40.9639,-3.12246,ES,
ARR,ESPORTFRA,DME,38.49278,-8.96222,,
ARS,Alto Rio Senguerr,NDB,-45.0164,-70.8011,AR,SAVR
ARS,Ardrossan,VOR,-34.41653,137.89335,AU,
ARS,Ardrossan (DECOMMISSIONED),NDB,-34.4141,137.923,AU,
